Sl no,Class,Name of town,Name of the slum,Notified,No of HHs (approx),Population of slum,Paved Roads in km,Drainage - Open,Drainage Closed,Both (Open and closed),No Drainage,Num Latrines - Pit,Num Latrines - Flush/pour flush,Num of latrines - service,Num of latrines - others,Community Toilets,Number of tap points/public hydrants for water supply,Electricity - Domestic,Electricity - street lighting,Electricity - Others
215,1,BBMP  (M Corp. + OG) (Part),Maruthi Nagar Slum,No,66,298,1.4,-,-,BD,-,7,49,0,0,6,3,65,1,0
216,1,BBMP  (M Corp. + OG) (Part),Lakshminarayanapura Slum,No,81,345,1,-,-,BD,-,8,66,0,0,7,3,80,1,0
217,1,BBMP  (M Corp. + OG) (Part),Aswath Nagar Slum,No,176,775,1,-,-,BD,-,18,137,0,1,16,7,173,3,0
218,1,BBMP  (M  Corp.  + OG) (Part),Sanjaya Nagar Slum,No,1057,3974,1.5,-,-,BD,-,110,845,0,5,93,41,1038,8,0
219,1,BBMP  (M  Corp.  + OG) (Part),Manjunatha Nagar Slum,No,515,1996,0.5,-,-,BD,-,54,409,0,3,45,20,506,5,0
220,1,BBMP  (M Corp. + OG) (Part),Maruthahalli A Ak Colony Slum,No,176,683,0.6,-,-,BD,-,18,137,0,1,16,7,173,3,0
221,1,BBMP  (M Corp. + OG) (Part),Yamallur Ak Colony,No,118,484,0.5,-,-,BD,-,12,91,0,1,10,5,116,3,0
222,1,BBMP  (M  Corp.  + OG) (Part),Nallur Pura Slum,Yes,517,2274,0.3,-,-,BD,-,54,410,0,3,46,20,507,5,0
223,1,BBMP  (M Corp. + OG) (Part),Ambedkar Nagar Colony,Yes,76,372,0.4,-,-,BD,-,8,57,0,0,7,3,75,1,0
224,1,BBMP  (M  Corp.  + OG) (Part),Anandpura Slum,Yes,1148,5287,0.6,-,-,BD,-,120,917,0,6,101,44,1127,8,0
225,1,BBMP  (M  Corp.  + OG) (Part),Sudhama Nagar Slum,Yes,679,3234,1.2,-,-,BD,-,71,541,0,3,60,26,666,5,0
226,1,BBMP  (M  Corp.  + OG) (Part),M.V.Garden Slum,Yes,1835,8512,0.3,-,-,BD,-,191,1469,0,9,162,70,1801,8,0
227,1,BBMP  (M  Corp.  + OG) (Part),Ambedkar Slum,No,79,376,0.4,-,-,BD,-,8,60,0,0,7,3,78,1,0
228,1,BBMP  (M Corp. + OG) (Part),V V Giri Colony(Non_Notified) Slum,No,123,585,0.6,-,-,BD,-,13,94,0,1,11,5,121,3,0
229,1,BBMP  (M Corp. + OG) (Part),V V Giri Colony(Risaldar Street),No,172,836,1.2,-,-,BD,-,18,134,0,1,15,7,169,3,0
230,1,BBMP  (M Corp. + OG) (Part),Risaldar Colony,No,133,758,1.4,-,-,BD,-,14,102,0,1,12,5,131,3,0
231,1,BBMP  (M Corp. + OG) (Part),Risaldar Colony Slum(Non_Notified),No,72,362,1,-,-,BD,-,7,59,0,0,6,3,71,1,0
232,1,BBMP  (M Corp. + OG) (Part),V V Giri Colony,No,154,728,1,-,-,BD,-,16,119,0,1,14,6,151,3,0
233,1,BBMP  (M  Corp.  + OG)  (Part),Jayachamarajendra Wodeyar Nagar(Non_Nofified),No,104,408,0.5,-,-,BD,-,11,79,0,1,9,4,102,3,0
234,1,BBMP  (M Corp. + OG) (Part),V V Giri Colony Slum(Non_Notified),No,44,196,0.6,-,-,BD,-,5,31,0,0,4,2,43,1,0
235,1,BBMP  (M Corp. + OG) (Part),V V Giri Colony,No,139,565,0.5,-,-,BD,-,14,108,0,1,12,5,136,3,0
236,1,BBMP  (M Corp. + OG) (Part),Jcw  Colony,No,100,437,0.3,-,-,BD,-,10,76,0,1,9,4,98,1,0
237,1,BBMP  (M Corp. + OG) (Part),V V Giri Colony,No,120,546,0.4,-,-,BD,-,12,92,0,1,11,5,118,3,0
238,1,BBMP  (M  Corp.  + OG) (Part),Kenchappa Garden,Yes,792,3035,0.6,-,-,BD,-,82,632,0,4,70,30,777,5,0
239,1,BBMP  (M Corp. + OG) (Part),Himalaya Huts,Yes,80,546,1.2,-,-,BD,-,8,61,0,0,7,3,79,1,0
240,1,BBMP  (M Corp. + OG) (Part),Kenchappa Garden (Lakshmanapuri) Slum,Yes,67,327,1,-,-,BD,-,7,50,0,0,6,3,66,1,0
241,1,BBMP  (M Corp. + OG) (Part),Vallipuram Slum,Yes,265,1304,0.8,-,-,BD,-,28,209,0,1,23,10,260,3,0
242,1,BBMP  (M  Corp.  + OG) (Part),Nelagiri Pappanna Slum,No,433,1854,1.6,-,-,BD,-,45,344,0,2,38,17,425,5,0
243,1,BBMP  (M  Corp.  + OG) (Part),Jaibheema Nagar Slum,Yes,92,437,1,-,-,BD,-,10,70,0,0,8,4,90,1,0
244,1,BBMP  (M  Corp.  + OG) (Part),Swtantrapalya Slum,No,2852,11804,1,-,-,BD,-,297,2285,0,14,252,109,2799,10,0
245,1,BBMP  (M  Corp.  + OG) (Part),Jakkarayana Kere Slum,Yes,560,2595,0.6,-,-,BD,-,58,446,0,3,49,21,550,5,0
246,1,BBMP  (M Corp. + OG) (Part),Narayanappa Colony Slum,Yes,46,197,1.2,-,-,BD,-,5,33,0,0,4,2,45,1,0
247,1,BBMP  (M Corp. + OG) (Part),Vivekananda Colony Slum,Yes,128,600,1.4,-,-,BD,-,13,99,0,1,11,5,126,3,0
248,1,BBMP  (M Corp. + OG) (Part),Hanumanthappa Slum,Yes,38,162,1,-,-,BD,-,4,31,0,0,3,1,37,1,0
249,1,BBMP  (M  Corp.  + OG) (Part),Hanumanthappa Colony Slum,Yes,254,1150,1,-,-,BD,-,26,201,0,1,22,10,249,3,0
250,1,BBMP  (M  Corp.  + OG) (Part),Sanjayghandhi Nagar Slum,Yes,108,510,1.4,-,-,BD,-,11,82,0,1,10,4,106,3,0
251,1,BBMP  (M  Corp.  + OG) (Part),Shastrinagar Slum,No,153,740,1,-,-,BD,-,16,118,0,1,14,6,150,3,0
252,1,BBMP  (M Corp. + OG) (Part),Vivekananda Colony Slum,Yes,75,366,1,-,-,BD,-,8,56,0,0,7,3,74,1,0
253,1,BBMP  (M Corp. + OG) (Part),Narayanappa  Colonyslum,Yes,140,614,1.5,-,-,BD,-,15,108,0,1,12,5,137,3,0
254,1,BBMP  (M Corp. + OG) (Part),Lakshman Rao Slum,Yes,175,694,0.5,-,-,BD,-,18,137,0,1,15,7,172,3,0
255,1,BBMP  (M  Corp.  + OG) (Part),Ambedkar Slum,Yes,253,1145,1,-,-,BD,-,26,200,0,1,22,10,248,3,0
256,1,BBMP  (M Corp. + OG) (Part),Ursu Nagar Slum,Yes,56,233,0.6,-,-,BD,-,6,41,0,0,5,2,55,1,0
257,1,BBMP  (M Corp. + OG) (Part),Avalamma Chatra Slum,Yes,141,619,1.2,-,-,BD,-,15,109,0,1,12,5,138,3,0
258,1,BBMP  (M Corp. + OG) (Part),Vst Colony Slum,Yes,117,488,1.4,-,-,BD,-,12,90,0,1,10,4,115,3,0
259,1,BBMP  (M  Corp.  + OG) (Part),Ward No.96,Yes,671,3114,1,-,-,BD,-,70,535,0,3,59,26,659,5,0
260,1,BBMP  (M  Corp.  + OG) (Part),Selva Nagar(Notified) Slum,Yes,50,227,1,-,-,BD,-,5,41,0,0,4,2,49,1,0
261,1,BBMP  (M  Corp.  + OG) (Part),Gopalpura Slum,Yes,634,3249,1.4,-,-,BD,-,66,505,0,3,56,24,622,5,0
262,1,BBMP  (M  Corp.  + OG) (Part),Ghouse Land  Slum,Yes,679,3342,1,-,-,BD,-,71,541,0,3,60,26,666,5,0
263,1,BBMP  (M  Corp.  + OG) (Part),Gowthamnagar Slum,No,533,2419,1,-,-,BD,-,55,424,0,3,47,20,523,5,0
264,1,BBMP  (M Corp. + OG) (Part),Ramakrishna Sevanagar Slum,No,143,709,1.5,-,-,BD,-,15,110,0,1,13,5,140,3,0
265,1,BBMP  (M Corp. + OG) (Part),Venkateshwara Harijana Colony,No,87,461,1.3,-,-,BD,-,9,66,0,0,8,3,85,1,0
266,1,BBMP  (M  Corp.  + OG) (Part),Ambedkar Nagar Slum,Yes,222,1184,1.5,-,-,BD,-,23,174,0,1,20,9,218,3,0
267,1,BBMP  (M Corp. + OG) (Part),Mariyappanapalya  Slum,No,728,3186,1.6,-,-,BD,-,76,580,0,4,64,28,715,5,0
268,1,BBMP  (M Corp. + OG) (Part),Indiranagar Slum,Yes,947,3934,1.5,-,-,BD,-,99,755,0,5,84,36,930,5,0
269,1,BBMP  (M Corp. + OG) (Part),Rajajinagar Slum,Yes,613,2467,0.5,-,-,BD,-,64,488,0,3,54,24,602,5,0
270,1,BBMP  (M Corp. + OG) (Part),Bhovi Colony Slum,Yes,244,985,1,-,-,BD,-,25,192,0,1,22,9,240,3,0
271,1,BBMP  (M Corp. + OG) (Part),Bhovi Colony Slum,Yes,13,52,0.6,-,-,BD,-,1,11,0,0,1,0,13,1,0
272,1,BBMP  (M  Corp.  + OG) (Part),Karekal Slum,Yes,352,1411,0.8,-,-,BD,-,37,278,0,2,31,14,346,5,0
273,1,BBMP  (M  Corp.  + OG) (Part),Ak Colony Slum,Yes,217,1011,1,-,-,BD,-,23,170,0,1,19,8,213,3,0
274,1,BBMP  (M Corp. + OG) (Part),Sriramnagar Slum,Yes,322,1271,1,-,-,BD,-,34,254,0,2,28,12,316,5,0
275,1,BBMP  (M Corp. + OG) (Part),Kamalanagara Slum,Yes,592,2286,1.5,-,-,BD,-,62,471,0,3,52,23,581,5,0
