Sl no,Class,Name of town,Name of the slum,Notified,No of HHs (approx),Population of slum,Paved Roads in km,Drainage - Open,Drainage Closed,Both (Open and closed),No Drainage,Num Latrines - Pit,Num Latrines - Flush/pour flush,Num of latrines - service,Num of latrines - others,Community Toilets,Number of tap points/public hydrants for water supply,Electricity - Domestic,Electricity - street lighting,Electricity - Others
461,1,BBMP  (M Corp. + OG) (Part),Maramma Temple Teachers Layout Slum,Yes,126,607,0.6,-,-,BD,-,13,97,0,1,11,5,124,3,0
462,1,BBMP  (M Corp. + OG) (Part),Bhavaninagara Slum,Yes,491,2039,1.2,-,-,BD,-,51,391,0,2,43,19,482,5,0
463,1,BBMP  (M  Corp.  + OG) (Part),Sarbundepalya Slum,Yes,397,1797,1.4,-,-,BD,-,41,315,0,2,35,15,390,5,0
464,1,BBMP  (M  Corp.  + OG) (Part),Haricolony Slum,Yes,528,2391,1,-,-,BD,-,55,419,0,3,47,20,518,5,0
465,1,BBMP  (M Corp. + OG) (Part),Banashankari Slum,Yes,159,832,1,-,-,BD,-,17,123,0,1,14,6,156,3,0
466,1,BBMP  (M  Corp.  + OG) (Part),Sarbundepalya Slum,Yes,489,2254,1.4,-,-,BD,-,51,389,0,2,43,19,480,5,0
467,1,BBMP  (M Corp. + OG) (Part),Sarbandepalya Slum,Yes,118,522,1.5,-,-,BD,-,12,91,0,1,10,5,116,3,0
468,1,BBMP  (M Corp. + OG) (Part),Sarbundepalya Slum,Yes,112,495,1.6,-,-,BD,-,12,85,0,1,10,4,110,3,0
469,1,BBMP  (M  Corp.  + OG) (Part),Pragathipura Slum,Yes,1723,6982,1.5,-,-,BD,-,179,1379,0,9,152,66,1691,8,0
470,1,BBMP  (M Corp. + OG) (Part),Ummarbhag Slum,Yes,470,2207,0.5,-,-,BD,-,49,373,0,2,42,18,461,5,0
471,1,BBMP  (M  Corp.  + OG) (Part),Illeyasnagar Slum,Yes,144,786,1,-,-,BD,-,15,111,0,1,13,6,141,3,0
472,1,BBMP  (M Corp. + OG) (Part),Vaishnavi Nagar Slum,Yes,161,665,0.4,-,-,BD,-,17,125,0,1,14,6,158,3,0
473,1,BBMP  (M Corp. + OG) (Part),Ks Layout Slum,Yes,171,725,0.6,-,-,BD,-,18,133,0,1,15,7,168,3,0
474,1,BBMP  (M Corp. + OG) (Part),Sunnadagudu Slum,No,92,390,1.2,-,-,BD,-,10,70,0,0,8,4,90,1,0
475,1,BBMP  (M  Corp.  + OG) (Part),Ramachandrapura,No,162,718,1.4,-,-,BD,-,17,126,0,1,14,6,159,3,0
476,1,BBMP  (M  Corp.  + OG) (Part),Bhuwaneswarinagar Slum,No,575,2315,1,-,-,BD,-,60,457,0,3,51,22,564,5,0
477,1,BBMP  (M  Corp.  + OG)  (Part),Maruthinagar,No,519,1839,0.5,-,-,BD,-,54,412,0,3,46,20,509,5,0
478,1,BBMP  (M Corp. + OG) (Part),Sriramanagar,No,311,1238,1,-,-,BD,-,32,246,0,2,27,12,305,5,0
479,1,BBMP  (M  Corp.  + OG) (Part),Chandranagar Farm Colony,No,649,2635,0.4,-,-,BD,-,68,517,0,3,57,25,637,5,0
480,1,BBMP  (M  Corp.  + OG) (Part),Ambedkar Colony Slum,No,751,3012,0.6,-,-,BD,-,78,599,0,4,66,29,737,5,0
481,1,BBMP  (M Corp. + OG) (Part),Ambedkarnagar Slum,No,315,1498,1.2,-,-,BD,-,33,248,0,2,28,12,309,5,0
482,1,BBMP  (M Corp. + OG) (Part),Venugopalnagar,No,428,1758,1.4,-,-,BD,-,45,339,0,2,38,16,420,5,0
483,1,BBMP  (M Corp. + OG) (Part),Palliganahalli,No,2617,10376,1,-,-,BD,-,272,2097,0,13,231,100,2569,10,0
484,1,BBMP  (M Corp. + OG) (Part),Vasanthapura,No,736,2872,0.3,-,-,BD,-,77,586,0,4,65,28,722,5,0
485,1,BBMP  (M Corp. + OG) (Part),Ayyappanagar,No,236,967,0.9,-,-,BD,-,25,185,0,1,21,9,232,3,0
